domain,report_type,variable,data_policy_licence,quality_flag,year,month,count
marine,0,36,0,0,2000,01, 738836
marine,0,36,0,0,2000,02, 721371
marine,0,36,0,0,2000,03, 788875
marine,0,36,0,0,2000,04, 782115
marine,0,36,0,0,2000,05, 826148
marine,0,36,0,0,2000,06, 791446
marine,0,36,0,0,2000,07, 833594
marine,0,36,0,0,2000,08, 848273
marine,0,36,0,0,2000,09, 825055
marine,0,36,0,0,2000,10, 866162
marine,0,36,0,0,2000,11, 807257
marine,0,36,0,0,2000,12, 780164
marine,0,36,0,0,2001,01, 796298
marine,0,36,0,0,2001,02, 748420
marine,0,36,0,0,2001,03, 812078
marine,0,36,0,0,2001,04, 805103
marine,0,36,0,0,2001,05, 818737
marine,0,36,0,0,2001,06, 777595
marine,0,36,0,0,2001,07, 840555
marine,0,36,0,0,2001,08, 837608
marine,0,36,0,0,2001,09, 804934
marine,0,36,0,0,2001,10, 828312
marine,0,36,0,0,2001,11, 814987
marine,0,36,0,0,2001,12, 786838
marine,0,36,0,0,2002,01, 799374
marine,0,36,0,0,2002,02, 741588
marine,0,36,0,0,2002,03, 809694
marine,0,36,0,0,2002,04, 816726
marine,0,36,0,0,2002,05, 841827
marine,0,36,0,0,2002,06, 829812
marine,0,36,0,0,2002,07, 881707
marine,0,36,0,0,2002,08, 913889
marine,0,36,0,0,2002,09, 850347
marine,0,36,0,0,2002,10, 854915
marine,0,36,0,0,2002,11, 831155
marine,0,36,0,0,2002,12, 843291
marine,0,36,0,0,2003,01, 857484
marine,0,36,0,0,2003,02, 816236
marine,0,36,0,0,2003,03, 876427
marine,0,36,0,0,2003,04, 886524
marine,0,36,0,0,2003,05, 975086
